window,seed,val_pr_auc,val_roc_auc,keras_val_pr_auc_best,epochs_run,val_frauds,minutes
3,42,0.9569,0.9985,0.9566,45,165,1.09
3,7,0.9448,0.9983,0.9447,44,165,1.07
3,123,0.9471,0.9971,0.947,50,165,2.24
5,42,0.9343,0.9925,0.9338,49,165,3.46
5,7,0.9515,0.9939,0.9514,50,165,3.41
5,123,0.9091,0.9942,0.9087,36,165,1.63
10,42,0.8489,0.9837,0.8474,19,165,2.97
10,7,0.8554,0.9811,0.8554,19,165,1.54
10,123,0.8249,0.9712,0.8244,19,165,2.64
20,42,0.8435,0.9753,0.8432,14,165,2.87
20,7,0.8337,0.9696,0.8331,15,165,4.92
20,123,0.8295,0.9734,0.8291,14,165,3.02
