window,seed,val_pr_auc,val_roc_auc,keras_val_pr_auc_best,epochs_run,val_frauds,minutes
3,42,0.9448,0.9981,0.9446,43,165,1.27
3,7,0.9505,0.9988,0.9503,48,165,1.44
3,123,0.9598,0.9993,0.9598,45,165,1.3
5,42,0.9298,0.9969,0.9294,43,165,1.75
5,7,0.8871,0.9932,0.8869,29,165,2.09
5,123,0.9014,0.9949,0.9013,28,165,4.05
10,42,0.8514,0.9779,0.8509,21,165,6.66
10,7,0.8527,0.9835,0.8525,25,165,7.32
10,123,0.8735,0.99,0.8735,29,165,7.71
15,42,0.8163,0.9766,0.8163,18,165,5.84
15,7,0.8347,0.9774,0.8344,18,165,6.93
15,123,0.8234,0.9777,0.8232,17,165,4.76
20,42,0.8436,0.9752,0.8435,21,165,6.51
20,7,0.8464,0.9721,0.8464,20,165,9.1
20,123,0.8119,0.9677,0.8117,14,165,3.05
